image_id,relpath,onions_visible,ambiguous
Onion07482,2. Bulb\1. Healthy\1. Red Onion\2. Multiple\Onion07482.jpg,11,0
Onion07238,2. Bulb\1. Healthy\1. Red Onion\2. Multiple\Onion07238.jpg,8,1
Onion07601,2. Bulb\1. Healthy\1. Red Onion\2. Multiple\Onion07601.jpg,9,1
Onion07866,2. Bulb\1. Healthy\1. Red Onion\2. Multiple\Onion07866.jpg,12,0
Onion07112,2. Bulb\1. Healthy\1. Red Onion\2. Multiple\Onion07112.jpg,11,0
Onion07118,2. Bulb\1. Healthy\1. Red Onion\2. Multiple\Onion07118.jpg,11,0
Onion12235,2. Bulb\1. Healthy\2. White Onion\2. Multiple\Onion12235.jpg,8,0
Onion11862,2. Bulb\1. Healthy\2. White Onion\2. Multiple\Onion11862.jpg,12,1
Onion11249,2. Bulb\1. Healthy\2. White Onion\2. Multiple\Onion11249.jpg,10,0
Onion11618,2. Bulb\1. Healthy\2. White Onion\2. Multiple\Onion11618.jpg,,1
Onion11874,2. Bulb\1. Healthy\2. White Onion\2. Multiple\Onion11874.jpg,10,0
Onion11239,2. Bulb\1. Healthy\2. White Onion\2. Multiple\Onion11239.jpg,14,1
Onion13979,2. Bulb\2. Unhealthy\1. Red Onion\2. Multiple\Onion13979.jpg,11,0
Onion13604,2. Bulb\2. Unhealthy\1. Red Onion\2. Multiple\Onion13604.jpg,11,0
Onion13359,2. Bulb\2. Unhealthy\1. Red Onion\2. Multiple\Onion13359.jpg,11,0
Onion13372,2. Bulb\2. Unhealthy\1. Red Onion\2. Multiple\Onion13372.jpg,11,0
Onion13861,2. Bulb\2. Unhealthy\1. Red Onion\2. Multiple\Onion13861.jpg,12,1
Onion13857,2. Bulb\2. Unhealthy\1. Red Onion\2. Multiple\Onion13857.jpg,4,0
Onion15367,2. Bulb\2. Unhealthy\2. White Onion\2. Multiple\Onion15367.jpg,6,0
Onion15611,2. Bulb\2. Unhealthy\2. White Onion\2. Multiple\Onion15611.jpg,6,0
Onion15373,2. Bulb\2. Unhealthy\2. White Onion\2. Multiple\Onion15373.jpg,4,0
Onion15991,2. Bulb\2. Unhealthy\2. White Onion\2. Multiple\Onion15991.jpg,8,0
Onion15858,2. Bulb\2. Unhealthy\2. White Onion\2. Multiple\Onion15858.jpg,6,0
Onion15365,2. Bulb\2. Unhealthy\2. White Onion\2. Multiple\Onion15365.jpg,7,0
